Golden Guardians Academy;0;1;OpTic Gaming Academy;PRE MSI
CLG Academy;1;0;Team Liquid Academy;PRE MSI
100 Thieves Academy;1;0;TSM Academy;PRE MSI
Cloud9 Academy;1;0;Golden Guardians Academy;PRE MSI
OpTic Gaming Academy;0;1;Echo Fox Academy;PRE MSI
FlyQuest Academy;1;0;Clutch Gaming Academy;PRE MSI
Clutch Gaming Academy;1;0;OpTic Gaming Academy;PRE MSI
Cloud9 Academy;0;1;CLG Academy;PRE MSI
Team Liquid Academy;1;0;100 Thieves Academy;PRE MSI
TSM Academy;0;1;FlyQuest Academy;PRE MSI
Golden Guardians Academy;0;1;Echo Fox Academy;PRE MSI
Team Liquid Academy;1;0;Clutch Gaming Academy;PRE MSI
FlyQuest Academy;1;0;Golden Guardians Academy;PRE MSI
Echo Fox Academy;0;1;CLG Academy;PRE MSI
Cloud9 Academy;1;0;TSM Academy;PRE MSI
OpTic Gaming Academy;0;1;100 Thieves Academy;PRE MSI
OpTic Gaming Academy;0;1;Cloud9 Academy;PRE MSI
FlyQuest Academy;0;1;CLG Academy;PRE MSI
Clutch Gaming Academy;0;1;Echo Fox Academy;PRE MSI
Team Liquid Academy;0;1;TSM Academy;PRE MSI
100 Thieves Academy;1;0;Golden Guardians Academy;PRE MSI
Team Liquid Academy;1;0;OpTic Gaming Academy;PRE MSI
Golden Guardians Academy;0;1;Clutch Gaming Academy;PRE MSI
Cloud9 Academy;1;0;FlyQuest Academy;PRE MSI
Echo Fox Academy;1;0;100 Thieves Academy;PRE MSI
TSM Academy;0;1;CLG Academy;PRE MSI
CLG Academy;1;0;OpTic Gaming Academy;PRE MSI
Team Liquid Academy;1;0;Cloud9 Academy;PRE MSI
Clutch Gaming Academy;1;0;100 Thieves Academy;PRE MSI
Golden Guardians Academy;0;1;TSM Academy;PRE MSI
FlyQuest Academy;0;1;Echo Fox Academy;PRE MSI
Team Liquid Academy;1;0;Cloud9 Academy;PRE MSI
G2 Esports;1;0;Misfits;PRE MSI
H2K;0;1;Team Vitality;PRE MSI
Unicorns Of Love;0;1;Giants;PRE MSI
Roccat;0;1;FC Schalke 04;PRE MSI
Fnatic;1;0;Splyce;PRE MSI
Giants;0;1;Team Vitality;PRE MSI
Unicorns Of Love;0;1;Splyce;PRE MSI
Fnatic;0;1;H2K;PRE MSI
G2 Esports;0;1;Roccat;PRE MSI
Misfits;1;0;FC Schalke 04;PRE MSI
Giants;1;0;G2 Esports;PRE MSI
Splyce;0;1;Roccat;PRE MSI
Misfits;1;0;H2K;PRE MSI
Fnatic;0;1;Team Vitality;PRE MSI
Unicorns Of Love;0;1;FC Schalke 04;PRE MSI
Giants;1;0;H2K;PRE MSI
Roccat;1;0;Unicorns Of Love;PRE MSI
Misfits;1;0;Team Vitality;PRE MSI
FC Schalke 04;0;1;Splyce;PRE MSI
Fnatic;1;0;G2 Esports;PRE MSI
Unicorns Of Love;1;0;H2K;PRE MSI
Giants;1;0;Roccat;PRE MSI
FC Schalke 04;0;1;Team Vitality;PRE MSI
G2 Esports;1;0;Splyce;PRE MSI
Fnatic;0;1;Misfits;PRE MSI
Unicorns Of Love;0;1;Team Vitality;PRE MSI
FC Schalke 04;1;0;Giants;PRE MSI
Roccat;0;1;Fnatic;PRE MSI
H2K;0;1;G2 Esports;PRE MSI
Misfits;0;1;Splyce;PRE MSI
H2K;0;1;Splyce;PRE MSI
Roccat;0;1;Team Vitality;PRE MSI
Giants;1;0;Misfits;PRE MSI
Fnatic;1;0;Unicorns Of Love;PRE MSI
G2 Esports;1;0;FC Schalke 04;PRE MSI
Splyce;0;1;Team Vitality;PRE MSI
FC Schalke 04;1;0;H2K;PRE MSI
Roccat;1;0;Misfits;PRE MSI
Fnatic;1;0;Giants;PRE MSI
G2 Esports;1;0;Unicorns Of Love;PRE MSI
Giants;0;1;Splyce;PRE MSI
Roccat;0;1;H2K;PRE MSI
Misfits;1;0;Unicorns Of Love;PRE MSI
G2 Esports;1;0;Team Vitality;PRE MSI
FC Schalke 04;0;1;Fnatic;PRE MSI
Unicorns Of Love;1;0;Giants;PRE MSI
Team Vitality;0;1;H2K;PRE MSI
FC Schalke 04;0;1;Roccat;PRE MSI
Misfits;0;1;G2 Esports;PRE MSI
Fnatic;1;0;Splyce;PRE MSI
Splyce;0;1;Unicorns Of Love;PRE MSI
Roccat;0;1;G2 Esports;PRE MSI
Fnatic;1;0;H2K;PRE MSI
Team Vitality;0;1;Giants;PRE MSI
FC Schalke 04;1;0;Misfits;PRE MSI
Unicorns Of Love;1;0;Roccat;PRE MSI
H2K;1;0;Giants;PRE MSI
Splyce;1;0;FC Schalke 04;PRE MSI
G2 Esports;0;1;Fnatic;PRE MSI
Misfits;1;0;Team Vitality;PRE MSI
Roccat;1;0;Giants;PRE MSI
Unicorns Of Love;1;0;H2K;PRE MSI
Splyce;1;0;G2 Esports;PRE MSI
FC Schalke 04;0;1;Team Vitality;PRE MSI
Misfits;1;0;Fnatic;PRE MSI
Roccat;0;1;Splyce;PRE MSI
Unicorns Of Love;1;0;FC Schalke 04;PRE MSI
H2K;1;0;Misfits;PRE MSI
Fnatic;1;0;Team Vitality;PRE MSI
G2 Esports;1;0;Giants;PRE MSI
Unicorns Of Love;0;1;Team Vitality;PRE MSI
Giants;0;1;FC Schalke 04;PRE MSI
